company_name,linkedin_url,description,fleet_size,country
21 Air,https://linkedin.com/company/21air,"21 AIR is a certificated United States PART 121 All Cargo Carrier, with full SMS implementation compliance, under newly established commercial aviation ...",2,Porto Rico
247 Aviation,https://linkedin.com/company/247-aviation,"247 Aviation responds to medical emergencies throughout the world, 24 hours a day, 365 days a year ensuring we are here for you at a time when you need it most.",4,Territoire britannique de l'océan Indien
2Excel Aviation,https://linkedin.com/company/2excel-group,"Founded in 2005 by two former Royal Air Force pilots, 2Excel has grown from five people and four aerobatic aircraft to a fleet of 30+, with more than 300 people ...",24,Territoire britannique de l'océan Indien
30 West Jets,https://linkedin.com/company/slate-aviation,"Tri State Charter, marketed as Slate Aviation, is one of the nation's largest operators of Challenger 850 and VIP Bombardier Regional Jet aircraft.",1,Porto Rico
4Airways,https://linkedin.com/company/4-airways,"4Airways is a startup airline focused on Wet Leasing and ACMI services, designed to cater to a wide range of aviation requirements.",3,Malte
748 Air Services,https://linkedin.com/company/748-air-services-k-ltd,"748 Air Services is an air operating company and holds an Air Operating Certificate, Air Service Licence and an imbedded Aircraft Maintenance Organization ...",6,Kenya
7Air Cargo,https://linkedin.com/company/7air-cargo,"At 7Air, our unwavering dedication to providing dependable cargo services extends beyond mere promises; it's a mission deeply ingrained in our ethos.",3,Porto Rico
9 Air,https://linkedin.com/company/%E4%B9%9D%E5%85%83%E8%88%AA%E7%A9%BA%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"9 Air is an airline in China, headquartered in Guangzhou. Website: http://www.9air.com. External link for 9 Air Co., ...",27,Taïwan
Abakan Air,https://linkedin.com/company/blacklist-aero,"number RA-76370 of ABAKAN AIR (PUMV FZE) arrived from Uganda to OMDW ... IMPORTANT NOTE: Abakan Air was designated by the U.S. OFAC on June 12, 2024 ...",5,Russie
Abu Dhabi Aviation,https://linkedin.com/company/abu-dhabi-aviation/,"Abu Dhabi Aviation (ADA) stands out as a global leader in aviation, truly a UAE Champion on a World stage. ADA offers a comprehensive range of services for ...",14,Émirats arabes unis
ABX Air,https://linkedin.com/company/abx-air-inc.,"ABX Air is an FAR Part 121 cargo airline flying express cargo routes for customers in the US and around the world, offering customized charter services.",11,Porto Rico
ACASS Ireland,https://linkedin.com/company/acass,"ACASS is a leading worldwide provider of best-in-class business aviation support services, including aircraft sales, aircraft management, flight crew staffing ...",2,Irlande
Advanced Air,https://linkedin.com/company/advancedairlines,"Advanced Air, LLC is an innovative, service-oriented aviation company headquartered in Hawthorne, California, approximately three miles from LAX.",23,Porto Rico
Advanced Flight Training,https://linkedin.com/company/advanced-flight-training-leasing,"Advanced Flight Training and Leasing offers seaplane training at your location, in your aircraft. We are part of Wipaire, the world's leading manufacturer of ...",5,Territoire britannique de l'océan Indien
Aegean Airlines,https://linkedin.com/company/aegean-airlines,"AEGEAN connects every corner of Greece with 180 destinations, in 49 countries with 307 routes and a total fleet of 76 aircraft, including the brand-new Airbus ...",68,Grèce
Aegean Executive,https://linkedin.com/company/e-mba-programme---university-of-the-aegean,"Το Πρόγραμμα εστιάζει στους τομείς της Ελεγκτικής – Εταιρικής Διακυβέρνησης, της Διοικητικής Επιστήμης, της Διοίκησης και Οργάνωσης Επιχειρήσεων και της ...",2,Grèce
Aer Lingus,https://linkedin.com/company/aer-lingus,"Aer Lingus is the national airline of Ireland, founded in 1936. It operates a modern aircraft fleet to destinations in the UK, Europe and North America.",80,Territoire britannique de l'océan Indien
AerCaribe Cargo,https://linkedin.com/company/aercaribe/,"La Empresa se enfoca en la prestación de servicios de transporte aéreo de vuelos cargo y charter en Latinoamérica y el Caribe, también prestamos servicio de ...",4,Porto Rico
Aero,https://linkedin.com/company/aero-fabrications-limited,Aero Fabrications Limited is a privately owned business located in the heart of the United Kingdom. We specialise in the manufacture of precision fabricated ...,7,Nigeria
Aero,https://linkedin.com/company/goaero,"Aero, a next generation air travel company, is building a seamless way to travel to the best leisure destinations in the world.",7,Nigeria
Aero Asahi,https://linkedin.com/company/aero-asahi-corporation,"AERO ASAHI CORPORATION which is holding by TOYOTA Motor Co.rporation. The following division are consisted, Aviation Business and Special Information ...",39,Japon
Aero Charter,https://linkedin.com/company/aero-charter,"With over 40 years experience, Aero Charter provides remarkable customer care in Aircraft Charter, Aircraft Sales and Management, FBO Service, Avionics, and ...",13,Porto Rico
Aero Charter and Transport,https://linkedin.com/company/aero-charter,"Aero Charter is your total aviation solution. With over 40 years experience, Aero Charter provides remarkable customer care in Aircraft Charter, ...",2,Porto Rico
Aero Clube de Coimbra,https://linkedin.com/company/anac---autoridade-nacional-da-avia%C3%A7%C3%A3o-civil,"A Autoridade Nacional da Aviação Civil (ANAC) é a autoridade nacional em matéria de aviação civil, pessoa coletiva de direito público, com a natureza de ...",1,Portugal
Aero Coatl Mexicano,,,1,Mexique
Aero Dili,https://linkedin.com/company/aero-dili,"Aero Dili or Aero Dili Service Transport, SA was established in 2017 and received an Air Operator Certificate in 2018 and operates and serves domestic flights ...",2,
Aero K,https://linkedin.com/company/aero-k-airlines,"에어로케이 다움 우리는 긍정의 에너지와 즐거움을 나누기 위해 보살핌과 신뢰, 그리고 기술에 기반한 서비스로 사람, 장소(커뮤니티), 파트너들을 연결합니다.",7,Corée du Sud
Aero Mongolia,https://linkedin.com/company/aero-mongolia,"Established in 2001 as Mongolia's first privately owned airline, we take great pride in providing our valued customers with exceptional air travel experiences.",5,
Aero Nomad,https://linkedin.com/company/aero-nomad-airlines,Aero Nomad Airlines is a Kyrgyz airline established in 2021. One of the priorities of «Aero Nomad Airlines» is the operation of comfortable Western-made Airbus ...,2,Kirghizistan
Aero Sotravia,https://linkedin.com/company/air-marine,"AERO SOTRAVIA. Movies, Videos, and Sound. Alexandria, cestovní kancelář. Leisure, Travel & Tourism. Rectimo Aviation SAS. Aviation and Aerospace Component ...",5,France
Aero Tak,https://linkedin.com/company/aero-tak-limited,"AERO TAK LIMITED. Airlines and Aviation. Abuja, Abuja 486 followers. We bring good things to life. Follow · Report this company; Close menu.",1,Nigeria
