company_name,linkedin_url,description
Aegean Airlines,https://linkedin.com/company/aegean-airlines,"AEGEAN connects every corner of Greece with 180 destinations, in 49 countries with 307 routes and a total fleet of 76 aircraft, including the brand-new Airbus ..."
Aer Lingus,https://linkedin.com/company/aer-lingus,"Aer Lingus is the national airline of Ireland, founded in 1936. It operates a modern aircraft fleet to destinations in the UK, Europe and North America."
AerCaribe Cargo,https://linkedin.com/company/aercaribe/,"La Empresa se enfoca en la prestación de servicios de transporte aéreo de vuelos cargo y charter en Latinoamérica y el Caribe, también prestamos servicio de ..."
Aero K,https://linkedin.com/company/aero-k-airlines,"에어로케이 다움 우리는 긍정의 에너지와 즐거움을 나누기 위해 보살핌과 신뢰, 그리고 기술에 기반한 서비스로 사람, 장소(커뮤니티), 파트너들을 연결합니다."
Aero Nomad,https://linkedin.com/company/aero-nomad-airlines,Aero Nomad Airlines is a Kyrgyz airline established in 2021. One of the priorities of «Aero Nomad Airlines» is the operation of comfortable Western-made Airbus ...
Aeroflot,https://linkedin.com/company/aeroflot---russian-airlines/,"Aeroflot is Russia's de facto National carrier and largest Airline. Founded on March 17, 1923, Aeroflot is among the world's oldest airlines and one of Russia's ..."
Aerolineas Argentinas,https://linkedin.com/company/aerolineas-argentinas,Aerolíneas Argentinas es la compañía líder en el mercado aerocomercial argentino y referente en la región desde 1950. Su flota de 84 aviones alcanza 38 destinos ...
Aeromexico,https://linkedin.com/company/aeromexico,"As a founding member of the SkyTeam airline alliance, Aeromexico offers customers more than 1,000 destinations in 177 countries served by the 20 ..."
Aeromexico Connect,https://linkedin.com/company/aeromexico,"Aeromexico, Mexico's global airline, operates more than 600 daily flights and has its main hub in Terminal 2 of the Mexico City International ..."
Aeronaves TSM,https://linkedin.com/company/tsm-connect-sa-de-cv,"TSM Connect. Transportation, Logistics, Supply Chain and Storage. Zona Centro, Coahuila 259 followers. Follow · Report this company; Close menu."
Aeropartner,https://linkedin.com/company/aeropartner,Aeropartner a.s. | 721 followers on LinkedIn. We are well-established air charter company founded in 2001. We dispose of a fleet of fast and cosy bizjet ...
Aerostan,https://linkedin.com/company/aerostan-aircompany,"AeroStan Air Company is an on-demand non-scheduled air cargo airline, which specializes in operating high-density – high-demand wide-body freighter aircrafts."
Aerovis Airlines,https://linkedin.com/company/aerovis,"AeroVis offers aviation, cargo transportation around the world. Rental, sale, charter and aircraft management from Europe, Asia, India, to Australia, South and ..."
Afrijet,https://linkedin.com/company/afrijet-business-service,Afrijet Business Service | 14190 followers on LinkedIn. Le Coeur de l'Afrique vous est ouvert | Afrijet aims to be the Central Africa's reference regional ...
Afriqiyah Airways,https://linkedin.com/company/afriqiyah-airways,Afriqiyah Airways was founded on April 2001. It started its operations on 1st December 2001 with leased Aircrafts. During the Paris Air Show in 2006 ...
Air Algerie,https://linkedin.com/company/airalg%C3%A9rie,"Air Algérie is the national airline. Air Algerie has produced an excellent commercial performance, according to the Medium-Term plan, it carries more than five ..."
Air Alsie,https://linkedin.com/company/air-alsie,"Air Alsie A/S provides executive jet services in Scandinavia and internationally. It offers air charter, and aircraft management/advisory and maintenance ..."
Air Arabia,https://linkedin.com/company/air-arabia,"Welcome to Air Arabia Group, the leading low-cost carrier in the Middle East and North Africa. Operating from six key hubs—Sharjah, Ras Al Khaimah, Abu Dhabi, ..."
Air Astana,https://linkedin.com/company/air-astana,We are a multi-award-winning international airline. Join us to plan your new adventures around the world from and via Almaty and Astana.
Air Baltic,https://linkedin.com/company/airbaltic,airBaltic is a strong and internationally respected airline with the main hub in Riga and bases in Tallinn and Vilnius. We currently offer flights to nearly ...
Air Borealis,https://linkedin.com/company/air-borealis,"Air Borealis is an airline all can take great pride in. With deep respect and connection to the community, the environment, and the people of the North."
Air Botswana,https://linkedin.com/company/air-botswana,"Air Botswana is the country's national airline. The airline operates and maintains a fleet of four aircraft, that includes an Embraer 170 Jet, ATR42-500 and ..."
Air Burkina,https://linkedin.com/company/air-burkina-s-a-,Air Burkina SA Aviation and Aerospace Component Manufacturing Follow Report this company Close menu View all 69 employees About us
Air Caledonie,https://linkedin.com/company/air-cal%C3%A9donie,"Air Calédonie est l'unique compagnie aérienne à desservir l'ensemble du réseau domestique de Nouvelle-Calédonie, de façon régulière. Website: http:// ..."
Air Cambodia,https://linkedin.com/company/cambodia-airways,"Cambodia Airways Co., Ltd. is a local Cambodian airline based in Phnom Penh. Established in September 2017, the company launched its inaugural flight on July ..."
Air Canada,https://linkedin.com/company/air-canada,"Canada's largest airline, the country's flag carrier and a founding member of Star Alliance, the world's most comprehensive air ..."
Air Canada Rouge,https://linkedin.com/company/air-canada-rouge,"As a team, we know that our purpose is to create wonderful beginnings and endings to our travellers' vacations, which we are committed to do every day, on ..."
Air Care Alliance,https://linkedin.com/company/air-care-alliance,The Air Care Alliance is a 501(c)(3) nonprofit public service organization representing a nationwide network of volunteer pilot groups that deliver ...
Air Cargo Carriers,https://linkedin.com/company/air-cargo-carriers,"Air Cargo Carriers provides reliable, scheduled service for the world's largest scheduled freight carriers, as well as full-service, on-demand charters."
companies_name,https://linkedin.com/company/techasoft-pvt-ltd,Techasoft Pvt. Ltd is one of the fast growing IT companies that provide a holistic IT solution to businesses across geographies.
Air Century,https://linkedin.com/company/aircentury,Air Century | 4749 followers on LinkedIn. Improving the Experience | Dominican airline with over 30 years of experience serving the greater Caribbean region ...
Air Charter Scotland Europe,https://linkedin.com/company/air-charter-scotland-europe,Air Charter Scotland has built a reputation as one of the most reliable private jet operators in the UK. We are the preferred private jet operator for some of ...
Air Charters Europe,https://linkedin.com/company/aircharterseurope,Air Charters Europe (ACE) is part of the ASL Group and focuses on customers who want to charter a (private) aircraft for group travel.
Air Chathams,https://linkedin.com/company/air-chathams-limited,Air Chathams is a 100% privately owned airline started in 1984 by CEO Craig Emeny. The airline built its foundations providing a critical air-link between the ...
Air China,https://linkedin.com/company/air-china/,"Air China is China's only national flag carrier and a member carrier of the world's largest airline network - Star Alliance. By Jun 2016, Air China had a ..."
Air Corsica,https://linkedin.com/company/air-corsica,"Air Corsica (code IATA : XK ; code OACI : CCM) est une compagnie aérienne française, précédemment appelée Compagnie Corse Méditerranée puis CCM Airlines."
Air Côte d'Ivoire,https://linkedin.com/company/air-c%C3%B4te-d'ivoire-officiel,"La nouvelle compagnie Air Côte d'Ivoire, créée en mai 2012, a la particularité d'offrir des avantages compétitifs : des vols directs et fréquents, aux horaires ..."
Air Creebec,https://linkedin.com/company/air-creebec,"---- Air Creebec is a regional airline connecting northern and southern communities across Quebec and Ontario. Owned by the Cree Nation since 1988, we provide ..."
Air Dolomiti,https://linkedin.com/company/air-dolomiti/,Benvenuto/a! Air Dolomiti is one of the Italian airline of the Lufthansa Group. Our story began in 1991 when we launched our operations with our first Trieste- ...
Air Europa,https://linkedin.com/company/aireuropa,Air Europa es la división aérea de Globalia Corporación. Miembros de la alianza SkyTeam. Nuestra red de vuelos abarca gran parte del territorio nacional español ...
Air Flamenco,https://linkedin.com/company/nature-air-costa-rica-airline,"NatureAir is the world's first Carbon Neutral Airline. Located in San Jose, Costa Rica, the airline serves 15 destinations with 74 daily scheduled flights."
Air Greenland,https://linkedin.com/company/air-greenland,"With destinations all over Greenland and connections from Copenhagen Iceland and Nunavut, we are your Greenlandic airline company. Website: http://airgreenland."
Air Guilin,https://linkedin.com/company/air-guilin,Air Guilin is a Chinese airline based at Guilin Liangjiang International Airport in Guangxi. A joint venture between the Guilin Municipal Government and HNA ...
Air Horizont,https://linkedin.com/company/air-horizont,"Air Horizont was born in 2015, as an airline promoted and run by Aragones. We are a Maltese carrier and our offices are located in Malta and in Spain, ..."
Air Incheon,https://linkedin.com/company/airincheon/,"Air Incheon Co., Ltd. is the national cargo airline of South Korea established in 2012, and operates four B737-800SF. Air Incheon has contributed to the ..."
Air India Express,https://linkedin.com/company/airindiax,"Welcome to the official LinkedIn page of Air India Express, A Tata Enterprise. AIX operates 500+ daily flights with a fleet of over 100 aircraft."
Air Inuit,https://linkedin.com/company/air-inuit,"Air Inuit fournit des services essentiels de transport aérien régulier, nolisé, de cargo et d'urgence au Nunavik et au-delà, 24 heures par jour, ..."
Air Japan,https://linkedin.com/company/japan-airlines,"Japan Airlines (JAL), Japan's first private aviation company, was established in 1951 and is a member of the oneworld® Alliance."
Air Koryo,https://linkedin.com/company/aviation-o-holic-by-kush,"From EVA Air's kawaii overload to North Korea's Air Koryo and the mysterious Janet Airlines, these carriers prove that air travel can be anything but ordinary."
Air Liaison,https://linkedin.com/company/air-liaison,Air Liaison was established in 1991 as a specialist airline sales and marketing agency to represent the cargo interest of airlines operating from the UK.
Air Libya,https://linkedin.com/company/air-libya,AIR LIBYA · Airlines and Aviation · About us · Employees at AIR LIBYA · Similar pages · Browse jobs · Sign in to see who you already know at AIR LIBYA · Welcome ...
Air Manas,https://linkedin.com/company/airmanas,Air Manas is one of the dynamically developing airlines of the Kyrgyz Republic and Airbus 220-300 operator and the first in the CIS region has introduced the A ...
Air Mauritius,https://linkedin.com/company/airmauritius,"Air Mauritius has fully played its role as the national airline of Mauritius, providing air connectivity that has been crucial for the development of the ..."
