company_name,linkedin_url,description,company_name_norm,fleet_size
font-qanelas,inline-flex href,font-qanelas 4,font-qanelas,
21 Air,https://linkedin.com/company/21air,"21 AIR is a certificated United States PART 121 All Cargo Carrier, with full SMS implementation compliance, under newly established commercial aviation ...",21 air,
247 Aviation,https://linkedin.com/company/247-aviation,"247 Aviation responds to medical emergencies throughout the world, 24 hours a day, 365 days a year ensuring we are here for you at a time when you need it most.",247 aviation,4.0
2Excel Aviation,https://linkedin.com/company/2excel-group,"Founded in 2005 by two former Royal Air Force pilots, 2Excel has grown from five people and four aerobatic aircraft to a fleet of 30+, with more than 300 people ...",2excel aviation,24.0
30 West Jets,https://linkedin.com/company/slate-aviation,"Tri State Charter, marketed as Slate Aviation, is one of the nation's largest operators of Challenger 850 and VIP Bombardier Regional Jet aircraft.",30 west jets,
4Airways,https://linkedin.com/company/4-airways,"4Airways is a startup airline focused on Wet Leasing and ACMI services, designed to cater to a wide range of aviation requirements.",4airways,
748 Air Services,https://linkedin.com/company/748-air-services-k-ltd,"748 Air Services is an air operating company and holds an Air Operating Certificate, Air Service Licence and an imbedded Aircraft Maintenance Organization ...",748 air services,6.0
7Air Cargo,https://linkedin.com/company/7air-cargo,"At 7Air, our unwavering dedication to providing dependable cargo services extends beyond mere promises; it's a mission deeply ingrained in our ethos.",7air cargo,
9 Air,https://linkedin.com/company/%E4%B9%9D%E5%85%83%E8%88%AA%E7%A9%BA%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"9 Air is an airline in China, headquartered in Guangzhou. Website: http://www.9air.com. External link for 9 Air Co., ...",9 air,27.0
Abakan Air,https://linkedin.com/company/blacklist-aero,"number RA-76370 of ABAKAN AIR (PUMV FZE) arrived from Uganda to OMDW ... IMPORTANT NOTE: Abakan Air was designated by the U.S. OFAC on June 12, 2024 ...",abakan air,5.0
Abu Dhabi Aviation,https://linkedin.com/company/abu-dhabi-aviation/,"Abu Dhabi Aviation (ADA) stands out as a global leader in aviation, truly a UAE Champion on a World stage. ADA offers a comprehensive range of services for ...",abu dhabi aviation,14.0
ABX Air,https://linkedin.com/company/abx-air-inc.,"ABX Air is an FAR Part 121 cargo airline flying express cargo routes for customers in the US and around the world, offering customized charter services.",abx air,11.0
ACASS Ireland,https://linkedin.com/company/acass,"ACASS is a leading worldwide provider of best-in-class business aviation support services, including aircraft sales, aircraft management, flight crew staffing ...",acass ireland,2.0
Advanced Air,https://linkedin.com/company/advancedairlines,"Advanced Air, LLC is an innovative, service-oriented aviation company headquartered in Hawthorne, California, approximately three miles from LAX.",advanced air,23.0
Advanced Flight Training,https://linkedin.com/company/advanced-flight-training-leasing,"Advanced Flight Training and Leasing offers seaplane training at your location, in your aircraft. We are part of Wipaire, the world's leading manufacturer of ...",advanced flight training,5.0
Aegean Airlines,https://linkedin.com/company/aegean-airlines,"AEGEAN connects every corner of Greece with 180 destinations, in 49 countries with 307 routes and a total fleet of 76 aircraft, including the brand-new Airbus ...",aegean airlines,68.0
Aegean Executive,https://linkedin.com/company/e-mba-programme---university-of-the-aegean,"Το Πρόγραμμα εστιάζει στους τομείς της Ελεγκτικής – Εταιρικής Διακυβέρνησης, της Διοικητικής Επιστήμης, της Διοίκησης και Οργάνωσης Επιχειρήσεων και της ...",aegean executive,2.0
Aer Lingus,https://linkedin.com/company/aer-lingus,"Aer Lingus is the national airline of Ireland, founded in 1936. It operates a modern aircraft fleet to destinations in the UK, Europe and North America.",aer lingus,80.0
